a,a.size,a.eff,b,b.size,b.eff,(a-b).size,(a-b).eff
redis-dockerfile-7.0-rc-Dockerfile,120546537,0.933336923648002,redis-modus-7.0-rc2-,116388980,0.965129705578655,4157557,-0.0317927819306537
traefik-dockerfile-v1.7.34-alpine,88996057,0.996570814367652,traefik-modus-1.7.34-alpine-amd64,88996103,0.996570816140118,46,-1.77246572974354E-09
traefik-dockerfile-v1.7.34-scratch,82967544,1,traefik-modus-1.7.34-scratch-amd64,82967544,1,0,0
traefik-dockerfile-v2.6.1-alpine,102045913,0.997009346175383,traefik-modus-2.6.1-alpine-amd64,102045959,0.997009347523502,46,-1.34811883878427E-09
traefik-dockerfile-v2.6.1-scratch,96017400,1,traefik-modus-2.6.1-scratch-amd64,96017400,1,0,0
ubuntu-dockerfile-bionic-Dockerfile,63150617,1,ubuntu-modus-bionic,63150617,1,0,0
ubuntu-dockerfile-focal-Dockerfile,72756792,1,ubuntu-modus-focal,72756792,1,0,0
ubuntu-dockerfile-impish-Dockerfile,77378959,1,ubuntu-modus-impish,77378959,1,0,0
ubuntu-dockerfile-jammy-Dockerfile,79045291,1,ubuntu-modus-jammy,79045291,1,0,0
ubuntu-dockerfile-trusty-Dockerfile,196466523,0.999011923267966,ubuntu-modus-trusty,196466523,0.999011923267966,0,0
ubuntu-dockerfile-xenial-Dockerfile,134812175,0.639407894724642,ubuntu-modus-xenial,134812175,0.639407894724642,0,0
,,,,,,4157557,0.000480469930685512
,,,,,,1054578.61904762,-0.00147226545330291
